  TIME  YEAR    UNIT    PLANTNM    YIELD
     1     2    1261    agrl          147.195
     1     2    1262    agrl          196.482
     1     2    1263    agrl          182.871
     1     2    1264    agrl          192.644
     1     2    1265    agrl          157.101
     1     2    1266    agrl          171.107
     1     2    1267    agrl          177.197
     1     2    1268    agrl          168.897
     1     2    1271    agrl          176.088
     1     2    1272    agrl          186.401
     1     2    1273    agrl          173.301
     1     2    1274    agrl          171.107
     1     2    1275    agrl          176.134
     1     2    1276    agrl          174.356
     1     2    1277    agrl          148.033
     1     2    1278    agrl          177.213
     1     2    1279    agrl          164.731
     1     2    1280    agrl          167.890
     1     2    1281    agrl          185.236
     1     2    1282    agrl          196.478
     1     2    1283    agrl          171.094
     1     2    1286    agrl          153.514
     1     2    1287    agrl          152.574
     1     2    1288    agrl          165.878
     1     2    1289    agrl          166.871
     1     2    1290    agrl          177.227
     1     2    1291    agrl          164.783
     1     2    1292    agrl          171.215
     1     2    1293    agrl          164.754
     1     2    1294    agrl          167.985
     1     2    1295    agrl          156.200
     1     2    1296    agrl          191.510
     1     2    1297    agrl          175.220
     1     2    1298    agrl          158.998
     1     2    1299    agrl          166.906
     1     2    1300    agrl          175.197
     1     2    1301    agrl          159.867
     1     2    1302    agrl          140.627
     1     2    1303    agrl          195.302
     1     2    1304    agrl          133.195
     1     2    1305    agrl          161.424
     1     2    1306    agrl          136.601
     1     2    1307    agrl          176.220
     1     2    1308    agrl          167.989
     1     2    1309    agrl          153.518
     1     2    1310    agrl          150.748
     1     2    1311    agrl          182.948
     1     2    1312    agrl          149.826
     1     2    1313    agrl          157.177
     1     2    1314    agrl          175.175
     1     2    1315    agrl          165.888
     1     2    1316    agrl          157.257
     1     2    1317    agrl          195.294
     1     2    1318    agrl          149.879
     1     2    1319    agrl          162.823
     1     2    1320    agrl          160.651
     1     2    1321    agrl          150.735
     1     2    1322    agrl          173.279
     1     2    1323    agrl          196.593
     1     2    1324    agrl          165.830
     1     2    1325    agrl          165.751
     1     2    1326    agrl          151.666
     1     2    1327    agrl          179.453
     1     2    1340    agrl          167.783
     1     2    1341    agrl          172.044
     1     2    1342    agrl          140.018
     1     2    1343    agrl          161.912
